#OTU ID	d16s1r1	d16s2r1	d16s2r2	d17s1r1	d17s2r1	d17s2r2	d18s1r1	d18s2r1	d18s2r2	d19s1r1	d19s2r1	d19s2r2	d20s1r1	d20s2r1	d20s2r2	d21s1r1	d21s2r1	d21s2r2	d22s1r1	d22s2r1	d22s2r2	d23s1r1	d23s2r1	d23s2r2	d24s1r1	d24s2r1	d24s2r2	d25s1r1	d25s2r1	d25s2r2	d26s1r1	d26s2r1	d26s2r2	d28s1r1	d28s2r1	d28s2r2	d29s1r1	d29s2r1	d29s2r2	d30s10r1	d30s11r1	d30s12r1	d30s13r1	d30s14r1	d30s1r1	d30s2r10	d30s2r11	d30s2r12	d30s2r1	d30s2r2	d30s2r3	d30s2r4	d30s2r5	d30s2r6	d30s2r7	d30s2r8	d30s2r9	d30s3r1	d30s4r1	d30s5r1	d30s6r1	d30s7r1	d30s8r1	d30s9r1	d31s1r1	d31s2r1	d31s2r2	d32s1r1	d32s2r1	d32s2r2	d33s1r1	d33s2r1	d33s2r2	d34as1r1	d34as2r1	d34as2r2	d34bs1r1	d34bs2r1	d34bs2r2	d35s1r1	d35s2r1	d35s2r2	d42s1r1	d42s2r1	d42s2r2	d63s1r1	d63s2r1	d63s2r2	spike1	spike2	spike3	spike4	STD	STDspike	taxonomy
140	1	0	0	3	4	0	5	14	13	29	31	24	0	2	0	24	13	13	21	16	18	1	16	9	0	0	0	3	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	2	1	4	1	10	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Sporobacter; 78%
141	12	29	32	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	12	0	0	1	0	0	4	0	4	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	27	30	26	45	44	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Lactobacillaceae; 100%; Lactobacillus; 100%
142	1	0	0	0	0	0	21	5	3	11	7	15	2	3	3	13	2	2	14	22	15	1	5	2	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	2	9	12	0	0	0	0	0	0	0	0	0	9	22	11	8	2	8	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 97%; Sporobacter; 39%
143	3	0	0	6	1	5	5	3	3	7	1	3	9	5	7	3	3	1	5	0	4	2	3	3	10	10	2	1	2	2	5	6	4	3	4	1	0	0	1	1	2	1	1	5	2	2	3	0	0	2	3	2	3	1	1	2	0	2	3	1	1	0	3	1	0	7	1	0	2	1	7	5	3	1	12	6	4	2	4	12	1	6	0	0	0	0	1	1	3	2	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 100%; Bacillales_Incertae Sedis XI; 99%; Gemella; 99%
144	1	0	0	0	0	1	8	9	9	25	8	24	4	5	10	1	6	2	7	6	6	0	3	4	2	3	9	6	3	5	1	3	0	1	6	8	2	5	4	1	6	3	2	3	0	2	2	1	2	6	4	2	1	1	5	4	0	6	2	1	2	4	5	3	3	4	4	2	4	10	6	10	12	11	1	1	0	0	0	0	1	0	2	4	3	2	5	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Ruminococcus2; 54%
145	1	0	0	3	1	0	7	9	8	15	15	6	0	2	2	9	12	6	12	5	16	7	6	8	0	0	0	6	0	1	0	0	0	0	1	4	2	2	1	3	1	0	8	0	0	0	1	0	1	1	2	0	0	0	1	0	0	4	0	0	2	0	1	2	3	2	2	5	2	1	3	3	5	2	0	0	0	0	0	0	0	0	1	3	5	1	2	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Clostridium IV; 34%
146	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	3	1	4	4	2	5	4	6	1	1	0	9	13	14	2	0	0	2	9	6	2	3	7	3	2	4	4	1	1	3	5	3	3	0	3	2	0	2	1	0	2	5	3	1	4	4	1	1	4	6	2	3	2	5	4	5	4	0	0	0	1	0	0	0	0	0	0	2	4	1	2	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Christensenellaceae; 93%; Christensenella; 93%
147	0	0	0	10	3	2	2	4	4	8	4	12	1	3	1	1	5	7	4	3	0	1	1	1	2	1	2	3	3	2	4	0	0	0	3	4	3	3	2	2	3	1	1	3	4	5	2	0	1	3	3	2	1	1	0	1	2	0	7	1	6	2	2	2	4	6	8	3	6	4	3	5	8	3	2	0	0	0	0	4	1	2	1	4	0	0	1	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Ruminococcus; 63%
148	0	0	0	0	0	0	5	0	1	4	5	10	0	2	0	8	21	7	15	21	14	4	9	4	0	0	0	4	1	1	0	0	0	0	8	12	3	6	8	5	0	1	12	0	0	3	3	2	0	0	0	2	1	5	1	1	2	9	3	0	11	3	1	3	1	1	0	0	3	4	3	3	8	11	0	0	2	0	0	1	0	0	15	14	12	7	13	11	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 99%; Ruminococcus; 44%
149	0	0	0	0	0	0	0	0	1	3	3	0	0	4	1	4	7	5	2	2	4	0	0	1	0	0	0	0	3	2	0	0	0	0	8	4	2	3	6	7	4	5	7	0	0	4	5	0	3	0	3	1	3	8	2	5	3	5	4	0	4	3	2	7	3	6	3	5	9	1	2	1	3	4	0	0	0	0	0	0	0	0	8	1	7	3	2	1	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Verrucomicrobia""; 14%; Opitutae; 14%; Puniceicoccales; 14%; Puniceicoccaceae; 14%; Coraliomargarita; 14%"
150	2	0	0	8	1	1	6	3	4	6	4	5	0	0	1	4	8	2	2	5	5	8	10	7	0	4	0	2	1	0	0	0	0	1	4	1	1	2	1	6	2	0	3	4	0	2	1	0	0	3	0	2	0	3	1	0	0	6	2	0	1	1	0	2	8	6	0	7	8	6	2	2	5	0	0	0	0	0	0	0	0	0	6	2	3	0	2	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 99%; Clostridiales; 99%; Ruminococcaceae; 95%; Sporobacter; 46%
151	7	7	2	10	6	3	14	18	24	14	14	12	2	6	1	19	1	2	1	10	8	15	11	15	2	0	0	5	1	0	1	1	2	2	3	0	2	0	0	2	0	1	11	3	0	0	0	1	0	2	1	0	2	1	0	0	1	1	0	0	4	1	2	1	2	4	2	2	7	8	0	0	6	1	0	0	4	1	0	0	2	0	1	2	3	3	5	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Dorea; 21%
152	0	0	0	1	0	0	1	3	5	4	7	11	1	9	1	3	1	5	5	6	3	1	0	0	0	0	0	1	0	0	0	1	0	0	5	4	1	4	2	1	7	1	6	0	0	1	4	2	0	3	0	2	3	2	2	3	0	6	3	2	4	1	3	3	0	0	1	14	9	14	20	28	22	11	0	0	0	1	0	2	0	5	2	3	5	3	4	7	1	0	0	1	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 82%; Bacilli; 37%; Bacillales; 36%; Thermoactinomycetaceae 1; 15%; Salinithrix; 6%
153	0	0	0	0	0	1	1	3	1	2	7	7	1	0	3	0	3	1	0	0	0	0	0	0	0	1	2	1	0	1	0	3	0	0	2	3	2	3	2	3	4	0	2	1	3	2	4	6	4	0	3	4	6	5	3	3	4	7	1	1	1	4	3	2	1	5	2	10	13	10	8	9	4	5	1	1	0	0	0	0	1	2	0	1	1	3	1	5	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Clostridium XlVa; 89%
154	4	12	6	0	2	2	2	24	14	15	2	5	0	1	0	2	6	12	3	0	0	0	1	0	1	4	0	11	7	1	5	0	0	2	0	1	2	1	0	5	0	0	6	0	2	0	0	0	2	0	1	18	2	0	0	1	0	21	2	2	7	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Proteobacteria""; 100%; Alphaproteobacteria; 100%; Rhizobiales; 100%; Methylobacteriaceae; 100%; Methylobacterium; 100%"
155	1	0	0	7	2	6	0	1	1	1	1	2	2	0	0	0	0	0	0	0	1	0	0	1	3	7	5	1	4	3	2	0	1	0	3	0	1	1	2	1	3	1	3	2	7	0	0	1	0	2	2	3	0	1	2	2	0	1	1	2	1	0	0	0	12	10	17	4	6	8	5	4	4	5	6	4	4	0	1	1	3	0	0	1	2	1	1	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 97%; Clostridia; 97%; Clostridiales; 97%; Ruminococcaceae; 94%; Clostridium IV; 82%
156	3	0	0	2	0	0	2	4	1	3	4	7	0	0	2	8	14	7	14	6	6	3	10	11	0	0	1	0	2	0	0	0	0	1	1	1	1	1	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	4	12	2	4	10	11	5	5	5	1	0	0	0	1	0	0	0	0	1	4	1	1	2	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 91%; Clostridia; 87%; Clostridiales; 87%; Ruminococcaceae; 77%; Oscillibacter; 74%
157	0	0	0	0	1	0	0	0	1	2	2	2	2	1	0	0	0	2	0	1	0	1	1	0	0	0	0	4	0	0	0	0	0	2	2	1	2	1	4	3	3	1	5	1	1	2	0	5	5	2	0	1	3	2	6	3	3	10	3	1	4	2	4	3	1	2	1	3	3	3	1	3	2	5	0	0	0	1	1	2	5	8	3	5	2	4	3	3	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 96%; Actinobacteria; 96%; Coriobacteridae; 94%; Coriobacteriales; 94%; ""Coriobacterineae""; 94%; Coriobacteriaceae; 94%; Gordonibacter; 64%"
158	3	1	0	1	0	0	2	0	1	1	1	3	0	2	1	3	6	1	6	4	7	7	6	11	2	0	0	1	0	0	0	0	0	1	1	1	4	2	0	2	1	0	4	1	0	0	1	0	0	0	1	0	0	0	0	0	1	3	1	0	2	0	0	1	1	1	4	0	0	0	0	5	4	1	0	0	0	0	0	0	0	1	13	18	21	1	4	3	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 99%; ""Bacteroidales""; 99%; ""Rikenellaceae""; 96%; Alistipes; 96%"
159	0	0	0	3	1	0	1	1	0	0	3	2	1	0	1	1	1	0	7	1	2	0	0	4	2	1	3	1	0	3	1	2	2	1	1	4	2	0	0	2	0	1	2	2	2	1	2	2	2	1	2	2	0	1	1	1	1	0	0	0	1	4	1	3	0	8	2	1	2	1	1	2	0	5	0	0	2	3	0	1	2	4	0	0	1	0	3	2	4	10	7	8	0	3	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Bacillales; 100%; Planococcaceae; 75%; Lysinibacillus; 69%
160	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	7	3	1	0	0	0	5	0	0	0	0	3	3	1	1	0	0	0	1	0	4	12	22	3	2	2	1	1	0	1	3	2	1	3	3	5	2	3	1	4	1	1	4	0	0	1	4	3	7	4	6	3	2	3	3	1	1	1	0	1	0	0	0	2	0	0	1	2	1	0	0	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 99%; Clostridiales; 98%; Clostridiaceae 4; 25%; Anaerosolibacter; 8%
161	8	13	10	7	6	4	7	7	6	12	6	2	5	8	1	3	5	1	7	8	3	6	4	4	12	7	5	5	8	6	3	11	14	7	6	6	4	7	3	5	4	7	7	3	12	2	2	4	2	4	3	3	4	1	3	1	4	9	10	5	7	5	11	1	9	9	10	3	3	7	7	2	5	9	4	2	7	2	1	3	2	5	3	3	4	11	5	3	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Actinobacteridae; 100%; Actinomycetales; 100%; Actinomycineae; 100%; Actinomycetaceae; 100%; Actinomyces; 100%"
162	0	0	0	2	0	0	1	0	0	1	0	0	1	1	1	0	0	4	4	1	0	1	1	0	0	2	3	0	1	3	2	2	0	3	3	1	4	4	4	4	7	7	3	5	2	4	3	1	3	2	5	3	2	5	1	9	4	2	1	0	5	4	7	2	4	3	2	11	8	7	10	9	9	6	0	0	3	0	1	6	7	5	0	1	1	3	0	4	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 99%; Clostridiales; 99%; Lachnospiraceae; 98%; Anaerosporobacter; 57%
163	1	0	0	2	3	0	6	4	1	1	7	1	0	4	2	0	2	0	1	1	1	8	2	6	2	0	4	3	2	1	2	1	0	1	1	2	2	3	2	2	5	2	0	2	8	3	2	1	2	3	3	6	4	8	5	0	0	1	4	2	6	1	1	2	4	3	3	5	8	2	4	6	2	6	1	1	1	1	2	5	1	4	2	0	1	1	0	3	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Erysipelotrichia; 99%; Erysipelotrichales; 99%; Erysipelotrichaceae; 99%; Erysipelotrichaceae_incertae_sedis; 58%
164	0	0	0	0	0	0	8	8	18	2	18	10	1	1	0	29	5	9	0	1	3	17	22	16	0	0	0	0	0	1	0	0	0	3	0	0	1	0	2	0	1	0	2	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	4	1	0	0	2	8	5	0	1	0	0	0	2	2	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 93%; Clostridia; 83%; Clostridiales; 83%; Peptococcaceae 1; 31%; Peptococcus; 22%
165	0	0	0	0	0	0	0	0	0	0	4	2	0	3	0	0	0	0	2	1	0	0	2	2	0	0	0	4	3	1	0	0	0	1	2	2	3	4	6	1	1	0	1	0	0	6	1	1	1	1	4	3	1	2	1	6	0	2	1	1	5	2	0	3	4	0	4	0	3	1	1	0	2	6	0	0	0	0	0	0	0	1	5	0	1	1	2	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 95%; Clostridia; 92%; Clostridiales; 92%; Eubacteriaceae; 35%; Eubacterium; 35%
166	0	0	0	0	0	0	2	0	2	3	2	0	1	3	4	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	13	0	2	3	2	1	1	4	2	0	1	3	3	0	1	2	2	6	1	0	1	4	0	2	1	8	2	0	2	1	4	1	3	6	1	8	20	16	12	0	1	0	0	0	2	0	0	6	6	17	4	1	8	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 92%; Clostridia; 73%; Clostridiales; 67%; Eubacteriaceae; 29%; Alkalibacter; 27%
167	1	0	0	0	0	0	3	7	3	1	2	0	2	0	1	5	2	5	0	2	2	3	2	6	0	1	1	4	1	2	0	0	0	1	1	2	1	1	1	1	1	0	6	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	1	4	1	1	0	2	2	0	2	3	1	2	3	4	2	0	0	2	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Faecalibacterium; 67%
168	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	2	4	1	5	4	0	1	0	2	0	0	0	1	0	2	0	0	0	0	1	3	2	0	1	3	0	3	9	0	0	0	1	1	0	0	0	0	0	1	0	2	1	13	2	0	8	0	2	2	1	3	5	4	0	0	1	1	4	0	0	0	0	0	0	0	0	0	4	3	3	0	5	1	0	1	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 98%; Clostridiales; 98%; Ruminococcaceae; 98%; Flavonifractor; 20%
169	0	0	0	0	0	0	1	2	1	5	7	7	0	2	1	3	0	2	2	4	3	1	5	3	0	0	2	4	2	1	0	0	0	1	1	1	1	1	1	1	1	0	8	2	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	5	0	0	1	2	1	0	6	2	7	4	3	8	5	0	0	0	0	0	0	1	0	2	2	3	0	0	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Anaerofilum; 73%
170	0	0	0	0	1	0	1	0	0	0	3	0	0	1	1	0	3	3	0	2	1	0	2	1	0	1	0	0	1	1	0	0	0	0	3	3	0	2	5	1	0	5	5	0	1	3	0	1	1	0	1	3	3	3	3	0	1	2	3	0	4	1	0	0	3	1	4	1	1	5	1	2	3	6	0	0	1	0	0	2	0	0	2	1	3	1	0	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Eubacteriaceae; 40%; Eubacterium; 40%
171	16	34	42	4	2	2	0	2	2	0	0	0	8	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	11	10	6	4	2	4	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	4	7	9	16	1	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Lactobacillaceae; 100%; Lactobacillus; 96%
172	0	0	0	0	0	0	0	0	0	4	7	8	0	0	0	1	5	2	4	9	5	0	3	1	0	0	0	3	1	1	0	0	0	0	5	3	2	0	2	5	1	0	6	0	0	0	3	1	0	0	0	1	2	0	0	3	1	6	1	0	3	0	0	1	3	8	8	1	2	2	2	8	9	0	0	0	0	0	0	0	1	0	3	2	0	2	2	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 99%; Sporobacter; 82%
173	1	2	0	0	0	0	8	7	11	5	0	0	0	0	0	15	3	2	1	6	2	1	5	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	2	0	4	2	1	4	3	7	0	0	0	0	0	0	1	0	2	3	4	0	0	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 100%; Oscillibacter; 99%
174	0	4	4	0	7	10	2	0	0	0	0	1	0	0	2	3	2	0	2	0	2	1	0	0	9	2	1	0	1	0	1	3	1	6	29	22	0	4	1	2	1	0	0	5	47	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	2	2	0	2	11	9	0	0	0	1	0	1	0	0	0	1	10	1	0	0	0	6	2	3	2	0	0	1	0	0	1	0	0	Root; 100%; Bacteria; 100%; Cyanobacteria/Chloroplast; 100%; Chloroplast; 100%; Chloroplast; 100%; Streptophyta; 100%
175	0	2	1	0	0	0	1	30	26	4	7	6	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4	12	11	0	0	0	2	2	0	0	4	2	2	1	0	1	0	2	3	0	0	0	4	2	6	1	1	0	2	0	1	2	0	2	0	0	0	9	10	12	4	7	4	5	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Bacilli; 100%; Lactobacillales; 100%; Leuconostocaceae; 100%; Leuconostoc; 100%
176	2	1	0	0	0	0	0	0	0	2	2	0	1	0	2	0	0	0	1	0	0	1	0	0	1	0	0	1	3	2	1	6	4	0	2	0	1	1	0	0	1	0	0	1	0	3	1	2	0	0	1	0	1	0	2	1	1	0	1	0	0	0	2	2	3	4	1	0	0	2	1	4	1	2	2	1	0	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Actinobacteridae; 100%; Actinomycetales; 100%; Actinomycineae; 96%; Actinomycetaceae; 96%; Actinomyces; 94%"
177	0	0	0	0	0	0	3	0	1	3	3	2	1	5	2	8	7	5	0	0	0	5	2	5	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	6	5	6	3	0	4	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 100%; ""Bacteroidia""; 100%; ""Bacteroidales""; 100%; ""Porphyromonadaceae""; 100%; Butyricimonas; 100%"
178	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	2	2	4	5	1	2	1	9	8	0	0	0	0	7	1	0	0	0	0	3	2	0	6	5	1	0	1	0	0	0	1	0	2	0	0	0	0	0	1	1	1	1	2	1	1	1	0	0	1	2	1	3	3	5	2	4	8	1	3	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 98%; Clostridia; 96%; Clostridiales; 96%; Christensenellaceae; 18%; Christensenella; 18%
179	0	0	0	1	2	1	2	1	4	2	2	3	3	3	5	1	6	4	3	4	3	5	5	3	3	1	3	5	0	3	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	2	0	0	1	3	1	3	0	3	4	0	4	6	5	0	1	0	0	0	2	0	0	2	4	3	3	1	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 95%; Butyricicoccus; 92%
180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	2	0	6	6	4	11	6	0	0	0	0	0	0	0	0	8	23	16	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 97%; Clostridiales; 97%; Defluviitaleaceae; 27%; Defluviitalea; 27%
181	0	0	0	0	2	0	2	0	0	1	0	2	3	1	4	0	0	0	1	2	2	5	0	0	4	1	4	1	0	0	0	1	4	2	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	2	2	1	2	1	2	3	0	5	2	1	3	2	0	1	0	3	0	0	0	1	0	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Clostridiales_Incertae Sedis XIII; 100%; Mogibacterium; 100%
182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	5	2	1	7	11	2	1	0	3	0	3	1	5	9	7	1	1	0	1	1	1	1	0	0	1	1	4	0	1	0	2	1	2	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Lachnospiraceae; 100%; Ruminococcus2; 59%
183	0	3	0	0	1	1	1	1	2	0	1	0	7	0	4	2	1	1	0	2	0	0	0	1	3	1	6	1	3	3	0	1	0	1	0	0	0	1	2	0	0	2	0	3	2	2	4	1	1	1	2	0	0	1	1	0	0	0	0	1	1	0	1	0	3	1	0	0	0	0	6	3	2	3	2	1	2	2	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Actinobacteridae; 100%; Actinomycetales; 100%; Micrococcineae; 100%; Micrococcaceae; 100%; Rothia; 100%"
184	1	2	4	2	2	2	3	1	5	2	0	0	0	1	1	0	0	0	0	1	1	1	0	0	4	0	2	1	0	0	4	4	2	0	2	3	0	1	0	1	2	1	0	2	6	1	1	1	1	0	0	3	2	1	0	2	1	1	1	2	0	1	2	0	3	4	2	0	0	1	1	0	2	1	0	4	2	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Actinobacteria""; 100%; Actinobacteria; 100%; Coriobacteridae; 100%; Coriobacteriales; 100%; ""Coriobacterineae""; 100%; Coriobacteriaceae; 100%; Atopobium; 100%"
185	0	0	0	0	0	0	2	1	0	5	10	8	0	0	1	1	4	7	8	12	7	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	5	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 99%; Clostridia; 95%; Clostridiales; 95%; Clostridiales_Incertae Sedis XIII; 59%; Mogibacterium; 36%
186	0	0	0	0	0	0	3	2	3	5	3	4	0	0	0	5	5	4	6	1	4	2	6	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	2	1	0	1	2	2	5	1	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 100%; Clostridia; 100%; Clostridiales; 100%; Ruminococcaceae; 98%; Pseudoflavonifractor; 72%
187	0	0	0	2	1	0	0	0	3	4	1	2	0	2	0	3	3	3	0	1	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	3	2	1	3	0	1	3	3	0	0	0	0	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0	0	"Root; 100%; Bacteria; 100%; ""Bacteroidetes""; 71%; ""Bacteroidia""; 71%; ""Bacteroidales""; 71%; Bacteroidaceae; 71%; Anaerorhabdus; 71%"
188	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	6	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	3	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	7	5	0	0	0	0	0	0	Root; 100%; Bacteria; 100%; Firmicutes; 97%; Clostridia; 97%; Clostridiales; 97%; Ruminococcaceae; 91%; Clostridium IV; 37%
